GEO_UID,CMA_code,CMA_name,Census_Tract_name,Occupied_private_dwellings_by_structural_type_of_dwelling,Single_detached_house,Apartment_in_a_building_that_has_five_or_more_storeys,Semi_detached_house,Row_house,Apartment_or_flat_in_a_duplex,Apartment_in_a_building_that_has_fewer_than_five_storeys,Movable_dwelling,Private_households_by_household_size,F1_person,F2_person,F3_person,F4_person,F5_person_or_more,Number_of_persons_in_private_households
5350000.0,535,Toronto,0.0,2135910,846405,626905,158815,195245,89975,214365,640,2135910,519795,598700,373775,377170,266470,5862855
5350001.0,535,Toronto,1.0,250,15,0,80,90,15,50,0,245,65,85,50,35,10,595
5350002.0,535,Toronto,2.0,270,245,0,15,0,5,5,0,270,75,120,40,25,15,590
5350003.0,535,Toronto,3.0,260,0,255,0,0,0,0,0,260,120,100,25,15,5,465
5350004.0,535,Toronto,4.0,3455,70,1885,55,10,100,1330,5,3455,1800,950,350,230,125,6340
5350005.0,535,Toronto,5.0,3420,40,2085,35,315,30,910,0,3420,1720,1105,345,165,85,6100
5350006.0,535,Toronto,6.0,,,,,,,,,,,,,,,
5350007.01,535,Toronto,7.01,1745,60,1025,50,30,65,520,0,1750,920,485,180,105,60,3160
5350007.02,535,Toronto,7.02,2510,30,1920,10,0,15,520,0,2505,1275,720,265,165,75,4590
5350008.01,535,Toronto,8.01,4955,0,4475,0,175,0,305,0,4955,2795,1845,250,60,5,7500
5350008.02,535,Toronto,8.02,6060,0,5925,0,20,0,115,0,6060,3210,2185,445,170,50,9880
5350009.0,535,Toronto,9.0,165,0,165,0,0,0,5,0,165,90,50,20,10,5,290
5350010.01,535,Toronto,10.01,3145,10,2020,30,290,200,600,0,3150,1575,1110,320,120,25,5365
5350010.02,535,Toronto,10.02,4445,25,3060,80,375,115,745,0,4450,2420,1450,345,145,80,7400
5350011.0,535,Toronto,11.0,11890,10,11500,20,70,20,260,0,11890,7275,3915,540,125,35,17420
5350012.01,535,Toronto,12.01,6880,0,6815,0,65,0,0,0,6880,3425,2610,540,205,100,11630
5350012.03,535,Toronto,12.03,5310,0,5300,0,5,0,0,0,5310,2650,2005,485,120,50,8860
5350012.04,535,Toronto,12.04,2960,0,2955,0,0,0,0,0,2955,1505,1095,265,75,15,4875
5350013.01,535,Toronto,13.01,4060,0,4015,0,0,0,45,0,4060,2290,1460,200,75,30,6265
5350013.02,535,Toronto,13.02,4725,0,4720,0,5,0,5,0,4725,2295,1785,425,165,60,8105
5350014.0,535,Toronto,14.0,695,0,665,0,0,0,20,0,690,340,245,60,40,5,1195
5350015.0,535,Toronto,15.0,2225,0,2155,0,5,0,65,0,2225,1180,840,140,40,30,3595
5350016.0,535,Toronto,16.0,6180,5,5030,30,225,35,835,0,6180,3520,2120,340,130,75,9715
5350017.0,535,Toronto,17.0,4665,0,3960,5,415,55,220,0,4660,2515,1480,405,180,80,7875
5350018.0,535,Toronto,18.0,1245,45,425,210,190,25,345,0,1245,595,395,135,90,30,2335
5350019.0,535,Toronto,19.0,1365,55,100,410,35,70,665,0,1365,490,410,230,175,65,3035
5350020.0,535,Toronto,20.0,1015,225,355,155,120,5,150,0,1015,305,340,130,180,55,2385
5350021.0,535,Toronto,21.0,2660,390,0,260,80,160,1760,0,2660,1220,820,285,235,100,5195
5350022.0,535,Toronto,22.0,1505,595,0,270,50,85,500,0,1505,390,430,260,315,110,3865
5350023.0,535,Toronto,23.0,1285,730,70,105,20,70,290,0,1285,365,390,190,230,105,3200
5350024.0,535,Toronto,24.0,2960,650,215,660,70,145,1225,0,2965,975,940,450,445,155,6790
5350025.0,535,Toronto,25.0,1610,220,0,290,230,55,805,0,1610,610,525,225,195,55,3405
5350026.0,535,Toronto,26.0,2695,560,155,615,245,180,915,0,2695,840,820,460,390,180,6470
5350027.0,535,Toronto,27.0,1725,180,45,445,100,105,840,0,1725,495,545,295,245,145,4305
5350028.01,535,Toronto,28.01,685,10,220,165,100,0,185,0,680,290,230,80,65,20,1350
5350028.02,535,Toronto,28.02,2835,230,1125,535,210,190,525,0,2835,1120,935,385,270,135,5965
5350029.0,535,Toronto,29.0,2960,180,260,340,885,175,1095,0,2965,1025,925,460,345,210,6870
5350030.0,535,Toronto,30.0,2195,5,1450,45,320,10,335,0,2195,960,735,250,135,115,4405
5350031.0,535,Toronto,31.0,2765,0,2180,5,185,0,400,0,2765,1195,665,325,305,270,6265
5350032.0,535,Toronto,32.0,2640,55,1250,60,175,30,1070,0,2640,1695,605,200,90,55,4185
5350033.0,535,Toronto,33.0,2730,5,1960,45,230,45,445,0,2735,1640,685,225,110,75,4550
5350034.01,535,Toronto,34.01,2270,5,2030,10,100,35,65,0,2265,1035,880,260,65,25,3980
5350034.02,535,Toronto,34.02,3055,0,2865,0,0,0,190,0,3055,1685,1040,215,85,35,4935
5350035.0,535,Toronto,35.0,5705,5,5670,0,0,0,35,0,5705,2865,1980,550,225,80,9835
5350036.0,535,Toronto,36.0,3275,5,2620,20,115,40,450,0,3275,1825,995,255,135,55,5460
5350037.0,535,Toronto,37.0,2120,15,875,60,65,55,1020,0,2115,915,670,270,150,105,4305
5350038.0,535,Toronto,38.0,1640,40,375,110,155,145,810,0,1640,705,445,220,130,135,3605
5350039.0,535,Toronto,39.0,1710,10,760,25,265,5,650,0,1710,650,470,245,155,190,4090
5350040.0,535,Toronto,40.0,1785,145,0,210,325,315,690,0,1790,490,600,315,220,165,4545
5350041.0,535,Toronto,41.0,1450,65,170,175,295,50,685,0,1455,445,475,260,175,95,3425
5350042.0,535,Toronto,42.0,1965,105,20,210,100,235,1170,0,1965,640,655,335,200,130,4490
5350043.0,535,Toronto,43.0,1705,70,105,120,170,275,840,0,1705,580,620,235,160,105,3765
5350044.0,535,Toronto,44.0,4630,85,2780,130,255,160,1200,0,4630,2070,1745,455,255,105,8540
5350045.0,535,Toronto,45.0,1470,90,70,150,110,25,1010,0,1465,500,515,230,145,75,3235
5350046.0,535,Toronto,46.0,1330,95,105,180,240,55,625,0,1330,355,450,260,160,105,3275
5350047.02,535,Toronto,47.02,1950,55,1030,100,35,70,655,0,1945,980,525,195,145,100,3775
5350047.03,535,Toronto,47.03,360,25,0,20,15,20,290,5,360,165,120,35,25,20,700
5350047.04,535,Toronto,47.04,1180,195,0,290,105,175,405,0,1180,350,390,170,205,70,2825
5350048.0,535,Toronto,48.0,1560,210,275,235,75,85,670,10,1560,555,465,265,200,85,3505
5350049.0,535,Toronto,49.0,1425,230,50,240,5,135,755,0,1425,505,460,200,190,75,3190
5350050.01,535,Toronto,50.01,4335,950,2735,35,165,55,390,0,4340,1795,1425,550,435,135,8740
5350050.03,535,Toronto,50.03,590,130,335,5,110,5,10,0,590,255,220,70,25,20,1110
5350050.04,535,Toronto,50.04,2210,810,290,135,10,90,880,0,2210,815,605,340,335,115,5005
5350051.0,535,Toronto,51.0,2315,535,175,100,0,280,1205,0,2315,830,700,290,315,175,5305
5350052.0,535,Toronto,52.0,1840,190,415,350,90,80,695,5,1840,655,595,260,230,95,4060
5350053.0,535,Toronto,53.0,2710,130,405,310,60,310,1415,0,2710,950,915,425,270,150,5975
